image_id,predicted_class
1000016480768558.png,crack
1000094138882661.png,nocrack
100010347143101.png,nocrack
1000228345963509.png,nocrack
10002760868742.png,crack
1000324142734685.png,nocrack
1000502603639355.png,nocrack
1000680161643094.png,nocrack
1000777041608516.png,nocrack
1001169259026054.png,nocrack
1001331309398662.png,nocrack
1001470542104712.png,nocrack
1001567159154475.png,crack
1001765803830121.png,crack
1001813990290808.png,nocrack
1002176622750587.png,nocrack
100218589112962.png,nocrack
1002293629509383.png,nocrack
1002456236828977.png,crack
1002737927571484.png,nocrack
1003000195528864.png,nocrack
1003011347500746.png,nocrack
1003068185138241.png,crack
1003443492244003.png,nocrack
1003557972398882.png,crack
1003811750112429.png,crack
1003911505089218.png,nocrack
100414884507915.png,nocrack
1004539611112233.png,nocrack
1005105141165163.png,nocrack
1005142076728330.png,nocrack
1005173926339201.png,nocrack
1005196592117911.png,crack
1005705916066314.png,nocrack
1006034448838016.png,crack
1006609203421792.png,crack
1006709712994735.png,crack
100674892849406.png,crack
1006901559474100.png,crack
1007307227790931.png,nocrack
1007354566939277.png,nocrack
1007798281840707.png,crack
1007996080564288.png,nocrack
1008107111227372.png,crack
1008171258427007.png,nocrack
1008383552085473.png,nocrack
1008633147610234.png,nocrack
100863428045540.png,nocrack
1009015077842413.png,nocrack
1009610229194911.png,crack
1010071041146214.png,crack
1010265168683783.png,nocrack
101029680875421.png,crack
1010416533651186.png,nocrack
1010444971639026.png,crack
1010608023623157.png,nocrack
1010952036496784.png,nocrack
1011053417335275.png,crack
1011284834865130.png,nocrack
1011331136123914.png,crack
1011399361649611.png,crack
1011419378665852.png,crack
1011428298993606.png,nocrack
1011688648681388.png,nocrack
1012381049317659.png,nocrack
1012531295068342.png,nocrack
101274825930907.png,nocrack
101276404218600.png,nocrack
1013188281911819.png,crack
1013256833374209.png,nocrack
1013263950320460.png,nocrack
1013501744715983.png,nocrack
1013558286535260.png,nocrack
1014057488685352.png,nocrack
1014609854583248.png,nocrack
1014890221518151.png,nocrack
1014920341911477.png,nocrack
1015168216349652.png,nocrack
101520420806697.png,crack
10158635641126.png,nocrack
1016464831033549.png,nocrack
1017439149430722.png,crack
1017649978290118.png,crack
